Title20,Title,Country,SCIE,SSCI,AHCI,ESCI
ACTA MATH UNIV COMEN,ACTA MATHEMATICA UNIVERSITATIS COMENIANAE,SLOVAKIA,,,,X
ACTA MATH VIETNAM,ACTA MATHEMATICA VIETNAMICA,VIETNAM,,,,X
ACTA MATH-DJURSHOLM,ACTA MATHEMATICA,SWEDEN,X,,,
ACTA MECH,ACTA MECHANICA,AUSTRIA,X,,,
ACTA MECH AUTOMATICA,ACTA MECHANICA ET AUTOMATICA,POLAND,,,,X
ACTA MECH SINICA-PRC,ACTA MECHANICA SINICA,PEOPLES R CHINA,X,,,
ACTA MECH SOLIDA SIN,ACTA MECHANICA SOLIDA SINICA,PEOPLES R CHINA,X,,,
ACTA MED INDONES,ACTA MEDICA INDONESIANA,INDONESIA,,,,X
ACTA MED LITUANICA,ACTA MEDICA LITUANICA,LITHUANIA,,,,X
ACTA MED OKAYAMA,ACTA MEDICA OKAYAMA,JAPAN,X,,,
ACTA MED-HIST ADRIAT,ACTA MEDICO-HISTORICA ADRIATICA,CROATIA,,,,X
ACTA MEDICA PORT,ACTA MEDICA PORTUGUESA,PORTUGAL,X,,,
ACTA METALL SIN,ACTA METALLURGICA SINICA,PEOPLES R CHINA,X,,,
ACTA METALL SIN-ENGL,ACTA METALLURGICA SINICA-ENGLISH LETTERS,PEOPLES R CHINA,X,,,
ACTA METALL SLOVACA,ACTA METALLURGICA SLOVACA,SLOVAKIA,,,,X
ACTA MICROBIOL IMM H,ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,HUNGARY,X,,,
ACTA MISSIOL,ACTA MISSIOLOGICA,SLOVAKIA,,,,X
ACTA MONTAN SLOVACA,ACTA MONTANISTICA SLOVACA,SLOVAKIA,X,,,
ACTA MUSICOLOGICA,ACTA MUSICOLOGICA,SWITZERLAND,,,X,
ACTA NATURAE,ACTA NATURAE,RUSSIA,X,,,
ACTA NEOPHILOL,ACTA NEOPHILOLOGICA,SLOVENIA,,,,X
ACTA NEUROBIOL EXP,ACTA NEUROBIOLOGIAE EXPERIMENTALIS,POLAND,X,,,
ACTA NEUROCHIR,ACTA NEUROCHIRURGICA,AUSTRIA,X,,,
ACTA NEUROL BELG,ACTA NEUROLOGICA BELGICA,BELGIUM,X,,,
ACTA NEUROL SCAND,ACTA NEUROLOGICA SCANDINAVICA,DENMARK,X,,,
ACTA NEUROPATHOL,ACTA NEUROPATHOLOGICA,GERMANY,X,,,
ACTA NEUROPATHOL COM,ACTA NEUROPATHOLOGICA COMMUNICATIONS,ENGLAND,X,,,
ACTA NEUROPSYCHIATR,ACTA NEUROPSYCHIATRICA,DENMARK,X,,,
ACTA NEUROPSYCHOL,ACTA NEUROPSYCHOLOGICA,POLAND,,,,X
ACTA NUMER,ACTA NUMERICA,UNITED STATES,X,,,
ACTA OBSTET GYN SCAN,ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,DENMARK,X,,,
ACTA OCEANOL SIN,ACTA OCEANOLOGICA SINICA,PEOPLES R CHINA,X,,,
ACTA ODONTOL SCAND,ACTA ODONTOLOGICA SCANDINAVICA,ENGLAND,X,,,
ACTA OECOL,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,NETHERLANDS,X,,,
ACTA OECON,ACTA OECONOMICA,HUNGARY,,X,,
ACTA ONCOL,ACTA ONCOLOGICA,ENGLAND,X,,,
ACTA OPHTHALMOL,ACTA OPHTHALMOLOGICA,DENMARK,X,,,
ACTA OPT SIN,ACTA OPTICA SINICA,PEOPLES R CHINA,,,,X
ACTA ORIENT ACAD SCI,ACTA ORIENTALIA ACADEMIAE SCIENTIARUM HUNGARICAE,HUNGARY,,,X,
ACTA ORNITHOL,ACTA ORNITHOLOGICA,POLAND,X,,,
ACTA ORTHOP,ACTA ORTHOPAEDICA,ENGLAND,X,,,
ACTA ORTHOP BELG,ACTA ORTHOPAEDICA BELGICA,BELGIUM,X,,,
ACTA ORTHOP TRAUMATO,ACTA ORTHOPAEDICA ET TRAUMATOLOGICA TURCICA,TURKIYE,X,,,
ACTA ORTOP BRAS,ACTA ORTOPEDICA BRASILEIRA,BRAZIL,X,,,
ACTA OTO-LARYNGOL,ACTA OTO-LARYNGOLOGICA,NORWAY,X,,,
ACTA OTO-LARYNGOL CA,ACTA OTO-LARYNGOLOGICA CASE REPORTS,ENGLAND,,,,X
ACTA OTORHINOLARYNGO,ACTA OTORHINOLARYNGOLOGICA ITALICA,ITALY,X,,,
ACTA OTORRINOLAR ESP,ACTA OTORRINOLARINGOLOGICA ESPANOLA,SPAIN,,,,X
ACTA PAEDIATR,ACTA PAEDIATRICA,DENMARK,X,,,
ACTA PALAEONTOL POL,ACTA PALAEONTOLOGICA POLONICA,POLAND,X,,,
ACTA PARASITOL,ACTA PARASITOLOGICA,POLAND,X,,,
ACTA PAUL ENFERM,ACTA PAULISTA DE ENFERMAGEM,BRAZIL,X,X,,
ACTA PEDIATR MEX,ACTA PEDIATRICA DE MEXICO,MEXICO,,,,X
ACTA PETROL SIN,ACTA PETROLOGICA SINICA,PEOPLES R CHINA,X,,,
ACTA PHARM SIN B,ACTA PHARMACEUTICA SINICA B,PEOPLES R CHINA,X,,,
ACTA PHARMACEUT,ACTA PHARMACEUTICA,CROATIA,X,,,
ACTA PHARMACOL SIN,ACTA PHARMACOLOGICA SINICA,PEOPLES R CHINA,X,,,
ACTA PHILOS,ACTA PHILOSOPHICA,ITALY,,,X,
ACTA PHLEBOL,ACTA PHLEBOLOGICA,ITALY,,,,X
ACTA PHOTONICA SINIC,ACTA PHOTONICA SINICA,PEOPLES R CHINA,,,,X
ACTA PHYS POL A,ACTA PHYSICA POLONICA A,POLAND,X,,,
ACTA PHYS POL B,ACTA PHYSICA POLONICA B,POLAND,X,,,
ACTA PHYS SIN-CH ED,ACTA PHYSICA SINICA,PEOPLES R CHINA,X,,,
ACTA PHYS-CHIM SIN,ACTA PHYSICO-CHIMICA SINICA,PEOPLES R CHINA,X,,,
ACTA PHYSIOL,ACTA PHYSIOLOGICA,ENGLAND,X,,,
ACTA PHYSIOL PLANT,ACTA PHYSIOLOGIAE PLANTARUM,GERMANY,X,,,
ACTA PHYTOTAX GEOBOT,ACTA PHYTOTAXONOMICA ET GEOBOTANICA,JAPAN,X,,,
ACTA POETICA,ACTA POETICA,MEXICO,,,,X
ACTA POL HIST,ACTA POLONIAE HISTORICA,POLAND,,,X,
ACTA POL PHARM,ACTA POLONIAE PHARMACEUTICA,POLAND,X,,,
ACTA POLIT,ACTA POLITICA,NETHERLANDS,,X,,
ACTA POLYM SIN,ACTA POLYMERICA SINICA,PEOPLES R CHINA,X,,,
ACTA POLYTECH,ACTA POLYTECHNICA,CZECH REPUBLIC,,,,X
ACTA POLYTECH HUNG,ACTA POLYTECHNICA HUNGARICA,HUNGARY,X,,,
ACTA PROTOZOOL,ACTA PROTOZOOLOGICA,POLAND,X,,,
ACTA PSIQUIAT PSICOL,ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA,ARGENTINA,,,,X
ACTA PSYCHIAT SCAND,ACTA PSYCHIATRICA SCANDINAVICA,ENGLAND,X,X,,
ACTA PSYCHOL,ACTA PSYCHOLOGICA,NETHERLANDS,,X,,
ACTA PSYCHOL SIN,ACTA PSYCHOLOGICA SINICA,PEOPLES R CHINA,,,,X
ACTA RADIOL,ACTA RADIOLOGICA,ENGLAND,X,,,
ACTA RADIOL OPEN,ACTA RADIOLOGICA OPEN,NORWAY,,,,X
ACTA SCI MATH,ACTA SCIENTIARUM MATHEMATICARUM,HUNGARY,,,,X
ACTA SCI POL-FORM C,ACTA SCIENTIARUM POLONORUM-FORMATIO CIRCUMIECTUS,POLAND,,,,X
ACTA SCI POL-HORTORU,ACTA SCIENTIARUM POLONORUM-HORTORUM CULTUS,POLAND,X,,,
ACTA SCI POLON-TECHN,ACTA SCIENTIARUM POLONORUM-TECHNOLOGIA ALIMENTARIA,POLAND,,,,X
ACTA SCI VET,ACTA SCIENTIAE VETERINARIAE,BRAZIL,X,,,
ACTA SCI-AGRON,ACTA SCIENTIARUM-AGRONOMY,BRAZIL,X,,,
ACTA SCI-HEALTH SCI,ACTA SCIENTIARUM-HEALTH SCIENCES,BRAZIL,,,,X
ACTA SCI-TECHNOL,ACTA SCIENTIARUM-TECHNOLOGY,BRAZIL,X,,,
ACTA SILVAE LIGNI,ACTA SILVAE ET LIGNI,SLOVENIA,,,,X
ACTA SOC BOT POL,ACTA SOCIETATIS BOTANICORUM POLONIAE,POLAND,X,,,
ACTA SOCIOL,ACTA SOCIOLOGICA,ENGLAND,,X,,
ACTA STOMATOL CROAT,ACTA STOMATOLOGICA CROATICA,CROATIA,,,,X
ACTA STRUCTILIA,ACTA STRUCTILIA,SOUTH AFRICA,,,,X
ACTA TECH NAPOC SER-,ACTA TECHNICA NAPOCENSIS SERIES-APPLIED MATHEMATICS MECHANICS AND ENGINEERING,ROMANIA,,,,X
ACTA TECHNOL AGR,ACTA TECHNOLOGICA AGRICULTURAE,SLOVAKIA,,,,X
ACTA THEOL,ACTA THEOLOGICA,SOUTH AFRICA,,,X,
ACTA TROP,ACTA TROPICA,NETHERLANDS,X,,,
ACTA TURISTICA,ACTA TURISTICA,CROATIA,,,,X
ACTA U LODZ FOLIA AR,ACTA UNIVERSITATIS LODZIENSIS-FOLIA ARCHAEOLOGICA,POLAND,,,,X
ACTA U SAPIEN INFORM,ACTA UNIVERSITATIS SAPIENTIAE INFORMATICA,ROMANIA,,,,X
ACTA U SAPIENTIAE-FI,ACTA UNIVERSITATIS SAPIENTIAE-FILM AND MEDIA STUDIES,ROMANIA,,,,X
ACTA U SAPIENTIAE-MA,ACTA UNIVERSITATIS SAPIENTIAE-MATHEMATICA,ROMANIA,,,,X
ACTA UL FOL LITT POL,ACTA UNIVERSITATIS LODZIENSIS FOLIA LITTERARIA POLONICA,POLAND,,,,X
ACTA UL FOL LITT ROM,ACTA UNIVERSITATIS LODZIENSIS FOLIA LITTERARIA ROMANICA,POLAND,,,,X
ACTA UNIV CAROL THEO,ACTA UNIVERSITATIS CAROLINAE THEOLOGICA,CZECH REPUBLIC,,,,X
ACTA VET BRNO,ACTA VETERINARIA BRNO,CZECH REPUBLIC,X,,,
ACTA VET EURASIA,ACTA VETERINARIA EURASIA,TURKIYE,,,,X
ACTA VET HUNG,ACTA VETERINARIA HUNGARICA,HUNGARY,X,,,
ACTA VET SCAND,ACTA VETERINARIA SCANDINAVICA,DENMARK,X,,,
ACTA VET-BEOGRAD,ACTA VETERINARIA-BEOGRAD,POLAND,X,,,
ACTA VIROL,ACTA VIROLOGICA,SLOVAKIA,X,,,
ACTA ZOOL ACAD SCI H,ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,HUNGARY,X,,,
ACTA ZOOL BULGAR,ACTA ZOOLOGICA BULGARICA,BULGARIA,X,,,
ACTA ZOOL-STOCKHOLM,ACTA ZOOLOGICA,ENGLAND,X,,,
ACTAS DERMO-SIFILOGR,ACTAS DERMO-SIFILIOGRAFICAS,SPAIN,,,,X
ACTAS ESP PSIQUIATRI,ACTAS ESPANOLAS DE PSIQUIATRIA,SPAIN,X,,,
ACTAS UROL ESP,ACTAS UROLOGICAS ESPANOLAS,SPAIN,X,,,
ACTES RECH SCI SOC,ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,FRANCE,,X,,
ACTION LEARN,ACTION LEARNING,ENGLAND,,,,X
ACTION RES-LONDON,ACTION RESEARCH,ENGLAND,,X,,
ACTIVITIES,ACTIVITES-REVUE ELECTRONIQUE,FRANCE,,,,X
ACTUAL CONTAB FACES,ACTUALIDAD CONTABLE FACES,VENEZUELA,,,,X
ACTUAL JURID AMBIENT,ACTUALIDAD JURIDICA AMBIENTAL,SPAIN,,,,X
ACTUAL OSTEOL,ACTUALIZACIONES EN OSTEOLOGIA,ARGENTINA,,,,X
ACTUAL PEDAGOG,ACTUALIDADES PEDAGOGICAS,COLOMBIA,,,,X
ACTUAL PHARMACEUT,ACTUALITES PHARMACEUTIQUES,FRANCE,,,,X
ACTUAL PSICOL,ACTUALIDADES EN PSICOLOGIA,COSTA RICA,,,,X
ACTUATORS,ACTUATORS,SWITZERLAND,X,,,
ACUPUNCT HERB MED,ACUPUNCTURE AND HERBAL MEDICINE,PEOPLES R CHINA,,,,X
ACUPUNCT MED,ACUPUNCTURE IN MEDICINE,ENGLAND,X,,,
ACUPUNCTURE ELECTRO,ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,UNITED STATES,X,,,
ACUTE CRIT CARE,ACUTE AND CRITICAL CARE,SOUTH KOREA,,,,X
ACUTE MED SURG,ACUTE MEDICINE & SURGERY,UNITED STATES,,,,X
AD ENVIRON RES,ADVANCES IN ENVIRONMENTAL RESEARCH-AN INTERNATIONAL JOURNAL,SOUTH KOREA,,,,X
AD HOC NETW,AD HOC NETWORKS,NETHERLANDS,X,,,
AD HOC SENS WIREL NE,AD HOC & SENSOR WIRELESS NETWORKS,UNITED STATES,X,,,
ADALYA,ADALYA,TURKIYE,,,X,
ADAMANTIUS,ADAMANTIUS,ITALY,,,,X
ADANSONIA,ADANSONIA,FRANCE,X,,,
ADAPT BEHAV,ADAPTIVE BEHAVIOR,ENGLAND,X,X,,
ADAPT HUM BEHAV PHYS,ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,GERMANY,,,,X
ADAPT PHYS ACT Q,ADAPTED PHYSICAL ACTIVITY QUARTERLY,UNITED STATES,X,,,
ADAPTATION-UK,ADAPTATION-THE JOURNAL OF LITERATURE ON SCREEN STUDIES,ENGLAND,,,X,
ADCAIJ-ADV DISTRIB C,ADCAIJ-ADVANCES IN DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE JOURNAL,SPAIN,,,,X
ADCOMUNICA,ADCOMUNICA-REVISTA CIENTIFICA DE ESTRATEGIAS TENDENCIAS E INNOVACION EN COMMUNICACION,SPAIN,,,,X
ADDICT BEHAV,ADDICTIVE BEHAVIORS,ENGLAND,X,X,,
ADDICT BEHAV REP,ADDICTIVE BEHAVIORS REPORTS,ENGLAND,,,,X
ADDICT BIOL,ADDICTION BIOLOGY,ENGLAND,X,,,
ADDICT NEUROSCI,ADDICTION NEUROSCIENCE,NETHERLANDS,,,,X
ADDICT RES THEORY,ADDICTION RESEARCH & THEORY,ENGLAND,,X,,
ADDICT SCI CLIN PRAC,ADDICTION SCIENCE & CLINICAL PRACTICE,ENGLAND,X,X,,
ADDICTA,ADDICTA-THE TURKISH JOURNAL ON ADDICTIONS,TURKIYE,,,,X
ADDICTION,ADDICTION,ENGLAND,X,X,,
ADDIT MANUF,ADDITIVE MANUFACTURING,NETHERLANDS,X,,,
ADDIT MANUF LETT,ADDITIVE MANUFACTURING LETTERS,NETHERLANDS,,,,X
ADEL LAW REV,ADELAIDE LAW REVIEW,AUSTRALIA,,,,X
ADEPTUS,ADEPTUS,POLAND,,,,X
ADICCIONES,ADICCIONES,SPAIN,X,X,,
ADIPOCYTE,ADIPOCYTE,UNITED STATES,X,,,
ADM POLICY MENT HLTH,ADMINISTRATION AND POLICY IN MENTAL HEALTH AND MENTAL HEALTH SERVICES RESEARCH,UNITED STATES,,X,,
ADM PUBLICA GEST SOC,ADMINISTRACAO PUBLICA E GESTAO SOCIAL,BRAZIL,,,,X
ADM SCI,ADMINISTRATIVE SCIENCES,SWITZERLAND,,,,X
ADMET DMPK,ADMET AND DMPK,CROATIA,,,,X
ADMIN SCI QUART,ADMINISTRATIVE SCIENCE QUARTERLY,UNITED STATES,,X,,
ADMIN SOC,ADMINISTRATION & SOCIETY,UNITED STATES,,X,,
AD-MINIST,AD-MINISTER,COLOMBIA,,,,X
ADMINISTRACAO,ADMINISTRACAO-ENSINO E PESQUISA,BRAZIL,,,,X
ADMINSTRATION,ADMINISTRATION,POLAND,,,,X
ADOLES PSYCHIAT-NETH,ADOLESCENT PSYCHIATRY,NETHERLANDS,,,,X
ADOLESC HEALTH MED T,ADOLESCENT HEALTH MEDICINE AND THERAPEUTICS,NEW ZEALAND,,,,X
ADOLESC RES REV,ADOLESCENT RESEARCH REVIEW,SWITZERLAND,,X,,
ADOLESCENTS-BASEL,ADOLESCENTS,SWITZERLAND,,,,X
ADOPT FOSTER,ADOPTION AND FOSTERING,ENGLAND,,,,X
ADOPT Q,ADOPTION QUARTERLY,UNITED STATES,,,,X
ADSORPT SCI TECHNOL,ADSORPTION SCIENCE & TECHNOLOGY,UNITED STATES,X,,,
ADSORPTION,ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,NETHERLANDS,X,,,
ADULT EDUC QUART,ADULT EDUCATION QUARTERLY,UNITED STATES,,X,,
ADULT LEARN,ADULT LEARNING,UNITED STATES,,,,X
ADULTSPAN J,ADULTSPAN JOURNAL,UNITED STATES,,,,X
ADV ACCOUNT,ADVANCES IN ACCOUNTING,NETHERLANDS,,,,X
ADV AERODYNAM,ADVANCES IN AERODYNAMICS,PEOPLES R CHINA,,,,X
ADV AGR,ADVANCES IN AGRICULTURE,ENGLAND,,,,X
ADV AIRCR SPACECR SC,ADVANCES IN AIRCRAFT AND SPACECRAFT SCIENCE,SOUTH KOREA,,,,X
ADV ANAT PATHOL,ADVANCES IN ANATOMIC PATHOLOGY,UNITED STATES,X,,,
ADV APPL CERAM,ADVANCES IN APPLIED CERAMICS,ENGLAND,X,,,
ADV APPL CLIFFORD AL,ADVANCES IN APPLIED CLIFFORD ALGEBRAS,SWITZERLAND,X,,,
ADV APPL DISCRET MAT,ADVANCES AND APPLICATIONS IN DISCRETE MATHEMATICS,INDIA,,,,X
ADV APPL ENERGY,ADVANCES IN APPLIED ENERGY,ENGLAND,,,,X
ADV APPL MATH,ADVANCES IN APPLIED MATHEMATICS,UNITED STATES,X,,,
ADV APPL MATH MECH,ADVANCES IN APPLIED MATHEMATICS AND MECHANICS,HONG KONG,X,,,
ADV APPL PROBAB,ADVANCES IN APPLIED PROBABILITY,ENGLAND,X,,,
ADV APPL STAT,ADVANCES AND APPLICATIONS IN STATISTICS,INDIA,,,,X
ADV ARCHAEOL PRACT,ADVANCES IN ARCHAEOLOGICAL PRACTICE,UNITED STATES,,,X,
ADV ARTIF INTELL MAC,ADVANCES IN ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,INDIA,,,,X
ADV ASTRON,ADVANCES IN ASTRONOMY,UNITED STATES,X,,,
ADV ATMOS SCI,ADVANCES IN ATMOSPHERIC SCIENCES,PEOPLES R CHINA,X,,,
ADV AUTISM,ADVANCES IN AUTISM,ENGLAND,,,,X
ADV BAMBOO SCI,ADVANCES IN BAMBOO SCIENCE,NETHERLANDS,,,,X
ADV BIOL REGUL,ADVANCES IN BIOLOGICAL REGULATION,ENGLAND,,,,X
ADV BIOL-GER,ADVANCED BIOLOGY,GERMANY,X,,,
ADV BIOMED ENG,ADVANCED BIOMEDICAL ENGINEERING,JAPAN,,,,X
ADV BIOMED RES-INDIA,ADVANCED BIOMEDICAL RESEARCH,IRAN,,,,X
ADV BRIDGE ENG,ADVANCES IN BRIDGE ENGINEERING,PEOPLES R CHINA,,,,X
ADV BUILD ENERGY RES,ADVANCES IN BUILDING ENERGY RESEARCH,ENGLAND,,,,X
ADV CALC VAR,ADVANCES IN CALCULUS OF VARIATIONS,GERMANY,X,,,
ADV CANCER BIOL-MET,ADVANCES IN CANCER BIOLOGY-METASTASIS,NETHERLANDS,,,,X
ADV CEM RES,ADVANCES IN CEMENT RESEARCH,ENGLAND,X,,,
ADV CHRONIC KIDNEY D,ADVANCES IN CHRONIC KIDNEY DISEASE,UNITED STATES,X,,,
ADV CIV ARCHIT ENG,ADVANCES IN CIVIL AND ARCHITECTURAL ENGINEERING,CROATIA,,,,X
ADV CIV ENG,ADVANCES IN CIVIL ENGINEERING,UNITED STATES,X,,,
ADV CIV ENG MATER,ADVANCES IN CIVIL ENGINEERING MATERIALS,UNITED STATES,,,,X
ADV CLIM CHANG RES,ADVANCES IN CLIMATE CHANGE RESEARCH,PEOPLES R CHINA,X,,,
ADV CLIN EXP MED,ADVANCES IN CLINICAL AND EXPERIMENTAL MEDICINE,POLAND,X,,,
ADV COGN PSYCHOL,ADVANCES IN COGNITIVE PSYCHOLOGY,POLAND,,X,,
ADV COLLOID INTERFAC,ADVANCES IN COLLOID AND INTERFACE SCIENCE,NETHERLANDS,X,,,
ADV COMPLEX SYST,ADVANCES IN COMPLEX SYSTEMS,SINGAPORE,X,,,
ADV COMPOS HYBRID MA,ADVANCED COMPOSITES AND HYBRID MATERIALS,SWITZERLAND,X,,,
ADV COMPOS MATER,ADVANCED COMPOSITE MATERIALS,ENGLAND,X,,,
ADV COMPUT DES,"ADVANCES IN COMPUTATIONAL DESIGN, AN INTERNATIONAL JOURNAL",SOUTH KOREA,,,,X
ADV COMPUT MATH,ADVANCES IN COMPUTATIONAL MATHEMATICS,NETHERLANDS,X,,,
ADV CONCR CONSTR,ADVANCES IN CONCRETE CONSTRUCTION,SOUTH KOREA,X,,,
ADV COND MATTER PHYS,ADVANCES IN CONDENSED MATTER PHYSICS,UNITED STATES,X,,,
ADV CONTIN DISCRET M,ADVANCES IN CONTINUOUS AND DISCRETE MODELS,UNITED STATES,X,,,
ADV DATA ANAL CLASSI,ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,GERMANY,X,,,
ADV DATA SCI ADAPT,ADVANCES IN DATA SCIENCE AND ADAPTIVE ANALYSIS,SINGAPORE,,,,X
ADV DEV HUM RESOUR,ADVANCES IN DEVELOPING HUMAN RESOURCES,UNITED STATES,,,,X
ADV DIFFER EQU CONTR,ADVANCES IN DIFFERENTIAL EQUATIONS AND CONTROL PROCESSES,SINGAPORE,,,,X
ADV DIFFERENTIAL EQU,ADVANCES IN DIFFERENTIAL EQUATIONS,UNITED STATES,X,,,
ADV DIG MED,ADVANCES IN DIGESTIVE MEDICINE,TAIWAN,,,,X
ADV DRUG DELIVER REV,ADVANCED DRUG DELIVERY REVIEWS,NETHERLANDS,X,,,
ADV DUAL DIAGN,ADVANCES IN DUAL DIAGNOSIS,ENGLAND,,,,X
ADV EDUC,ADVANCED EDUCATION,UKRAINE,,,,X
ADV ELECTR COMPUT EN,ADVANCES IN ELECTRICAL AND COMPUTER ENGINEERING,ROMANIA,X,,,
ADV ELECTR ELECTRON,ADVANCES IN ELECTRICAL AND ELECTRONIC ENGINEERING,CZECH REPUBLIC,,,,X
ADV ELECTROMAGN,ADVANCED ELECTROMAGNETICS,FRANCE,,,,X
ADV ELECTRON MATER,ADVANCED ELECTRONIC MATERIALS,GERMANY,X,,,
ADV EMERG NURS J,ADVANCED EMERGENCY NURSING JOURNAL,UNITED STATES,,,,X
ADV ENERG SUST RES,ADVANCED ENERGY AND SUSTAINABILITY RESEARCH,GERMANY,,,,X
ADV ENERGY MATER,ADVANCED ENERGY MATERIALS,GERMANY,X,,,
ADV ENERGY RES,ADVANCES IN ENERGY RESEARCH,SOUTH KOREA,,,,X
ADV ENG INFORM,ADVANCED ENGINEERING INFORMATICS,ENGLAND,X,,,
ADV ENG MATER,ADVANCED ENGINEERING MATERIALS,GERMANY,X,,,
ADV ENG SOFTW,ADVANCES IN ENGINEERING SOFTWARE,ENGLAND,X,,,
ADV FIBER MATER,ADVANCED FIBER MATERIALS,PEOPLES R CHINA,X,,,
ADV FUNCT MATER,ADVANCED FUNCTIONAL MATERIALS,GERMANY,X,,,
ADV FUZZY SYST,ADVANCES IN FUZZY SYSTEMS,UNITED STATES,,,,X
ADV GEODES GEOINFORM,ADVANCES IN GEODESY AND GEOINFORMATION,POLAND,,,,X
ADV GEO-ENERGY RES,ADVANCES IN GEO-ENERGY RESEARCH,PEOPLES R CHINA,,,,X
ADV GEOM,ADVANCES IN GEOMETRY,GERMANY,X,,,
ADV GERONTOL,ADVANCES IN GERONTOLOGY,RUSSIA,,,,X
ADV GROUP THEOR APPL,ADVANCES IN GROUP THEORY AND APPLICATIONS,ITALY,,,,X
ADV HEALTH SCI EDUC,ADVANCES IN HEALTH SCIENCES EDUCATION,UNITED STATES,X,X,,
ADV HEALTHC MATER,ADVANCED HEALTHCARE MATERIALS,ENGLAND,X,,,
ADV HIGH ENERGY PHYS,ADVANCES IN HIGH ENERGY PHYSICS,UNITED STATES,X,,,
ADV HOSP TOUR RES-AH,ADVANCES IN HOSPITALITY AND TOURISM RESEARCH-AHTR,TURKIYE,,,,X
ADV HUM BIOL,ADVANCES IN HUMAN BIOLOGY,INDIA,,,,X
ADV HUM-COMPUT INTER,ADVANCES IN HUMAN-COMPUTER INTERACTION,UNITED STATES,,,,X
ADV IND ENG POLY RES,ADVANCED INDUSTRIAL AND ENGINEERING POLYMER RESEARCH,PEOPLES R CHINA,,,,X
ADV IND MANUF ENG,ADVANCES IN INDUSTRIAL AND MANUFACTURING ENGINEERING,NETHERLANDS,,,,X
ADV INTEGR MED,ADVANCES IN INTEGRATIVE MEDICINE,NETHERLANDS,,,,X
ADV INTELL SYST-GER,ADVANCED INTELLIGENT SYSTEMS,GERMANY,X,,,
ADV KIDNEY DIS HEAL,ADVANCES IN KIDNEY DISEASE AND HEALTH,UNITED STATES,X,,,
ADV LAB MED,ADVANCES IN LABORATORY MEDICINE-AVANCES EN MEDICINA DE LABORATORIO,SPAIN,,,,X
ADV LIFE COURSE RES,ADVANCES IN LIFE COURSE RESEARCH,ENGLAND,,X,,
ADV LIFE SCI-PAK,ADVANCEMENTS IN LIFE SCIENCES,PAKISTAN,,,,X
ADV MANUF,ADVANCES IN MANUFACTURING,PEOPLES R CHINA,X,,,
ADV MANUF-POLYM COMP,ADVANCED MANUFACTURING-POLYMER & COMPOSITES SCIENCE,ENGLAND,,,,X
ADV MATER,ADVANCED MATERIALS,GERMANY,X,,,
ADV MATER INTERFACES,ADVANCED MATERIALS INTERFACES,GERMANY,X,,,
ADV MATER PROCESS,ADVANCED MATERIALS & PROCESSES,UNITED STATES,X,,,
ADV MATER PROCESS TE,ADVANCES IN MATERIALS AND PROCESSING TECHNOLOGIES,ENGLAND,,,,X
ADV MATER RES-KR,ADVANCES IN MATERIALS RESEARCH-AN INTERNATIONAL JOURNAL,SOUTH KOREA,,,,X
ADV MATER SCI,ADVANCES IN MATERIALS SCIENCE,POLAND,,,,X
ADV MATER TECHNOL-US,ADVANCED MATERIALS TECHNOLOGIES,UNITED STATES,X,,,
ADV MATH,ADVANCES IN MATHEMATICS,UNITED STATES,X,,,
ADV MATH COMMUN,ADVANCES IN MATHEMATICS OF COMMUNICATIONS,UNITED STATES,X,,,
ADV MATH PHYS,ADVANCES IN MATHEMATICAL PHYSICS,UNITED STATES,X,,,
ADV MECH ENG,ADVANCES IN MECHANICAL ENGINEERING,ENGLAND,X,,,
ADV MED EDUC PRACT,ADVANCES IN MEDICAL EDUCATION AND PRACTICE,ENGLAND,,,,X
ADV MED SCI-POLAND,ADVANCES IN MEDICAL SCIENCES,POLAND,X,,,
ADV MEMBR,ADVANCED MEMBRANES,PEOPLES R CHINA,,,,X
ADV MENT HEALTH,ADVANCES IN MENTAL HEALTH,AUSTRALIA,,,,X
ADV MENT HEALTH INTE,ADVANCES IN MENTAL HEALTH AND INTELLECTUAL DISABILITIES,ENGLAND,,,,X
ADV METEOROL,ADVANCES IN METEOROLOGY,UNITED STATES,X,,,
ADV METH PRACT PSYCH,ADVANCES IN METHODS AND PRACTICES IN PSYCHOLOGICAL SCIENCE,UNITED STATES,X,X,,
ADV MICROBIOL-NY,ADVANCEMENTS OF MICROBIOLOGY,POLAND,X,,,
ADV MODEL SIMUL ENG,ADVANCED MODELING AND SIMULATION IN ENGINEERING SCIENCES,FRANCE,,,,X
ADV MULTIMED,ADVANCES IN MULTIMEDIA,UNITED STATES,,,,X
